capitalizations,POS_VB,POS_NN,POS_RB,POS_UH,POS_JJ,exclamations,questionmarks,emoji_scores,contrast,sentiment,vader_sentiment,vader_contrast,sujectivity
2,5,3,2,0,0,0,0,0,0.0,0.0,-0.4939,0.16699999999999998,0.0
3,3,4,0,0,0,1,0,0,0.925,-0.1625,-0.6859999999999999,0.22300000000000006,0.55
2,7,1,2,0,1,1,0,0,0.5,0.5,0.807,0.304,0.5
6,5,3,3,0,3,0,0,0,0.0,0.0,-0.8243,0.193,0.47500000000000003
1,1,1,0,0,2,1,0,0,0.25625,0.25625,0.69,0.5870000000000001,0.5
1,1,3,2,0,0,0,0,0,0.1,0.05,0.0,0.0,0.1
3,3,3,2,0,1,1,0,0,0.1875,0.40625,0.9123,0.534,0.6166666666666667
2,3,1,2,0,2,0,0,0,0.2866666666666666,0.7066666666666667,0.8122,0.34900000000000003,1.0
1,3,3,3,0,2,0,0,5,0.8,0.4,0.6597,0.114,0.5
3,1,3,1,0,1,2,0,0,0.3375,0.44166666666666665,0.9367,0.782,0.5249999999999999
3,7,5,5,0,2,0,0,0,0.3126984126984127,-0.13666666666666666,-0.9203,0.201,0.6633333333333333
4,3,8,1,0,2,0,0,0,0.5,0.5,0.4019,0.11300000000000003,0.5
2,2,5,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,0,13,0,0,0,0,0,0,0.0,0.3,0.6808,0.183,0.0
4,2,2,0,0,0,0,0,0,0.0,0.0,0.3612,0.294,0.0
2,6,6,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,0,2,0,0,0,0.35,0.35,0.9153,0.6809999999999999,0.55
4,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,1,4,0,0,0,0,0,0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.43333333333333335
1,1,3,1,0,1,0,0,0,0.5,0.5,0.7108,0.425,0.5
0,1,1,0,0,1,0,0,0,0.8,-0.8,-0.5719,0.649,0.9
1,3,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,4,3,2,0,1,0,0,0,0.04999999999999999,-0.04999999999999999,-0.6353,0.257,0.35
2,2,7,0,0,2,0,0,0,0.5,0.5,0.6808,0.301,0.5
